1:363.0,151.0,0.70,2.42
2:255.0,130.0,0.77,1.95
3:326.0,310.0,0.87,1.05
4:357.0,359.0,0.88,1.00
5:309.0,224.0,0.87,1.44
6:367.0,351.0,0.70,2.18
7:324.0,289.0,0.30,8.10
8:255.0,238.0,0.95,1.03
9:290.0,163.0,0.82,1.87
10:248.0,210.0,0.83,1.20
11:239.0,224.0,0.90,1.07
12:204.0,270.0,0.87,1.38
13:229.0,216.0,0.89,1.00
14:260.0,248.0,0.73,1.79
15:134.0,248.0,0.34,6.57
16:161.0,159.0,0.99,1.00
17:257.0,78.0,0.58,3.31
18:265.0,193.0,0.81,1.64
19:252.0,277.0,0.88,1.07
20:315.0,351.0,0.92,1.00
21:331.0,183.0,0.82,1.85
22:262.0,236.0,0.67,2.47
23:156.0,302.0,0.24,10.03
24:248.0,234.0,0.97,1.06
25:200.0,124.0,0.88,1.61
26:126.0,61.0,0.71,2.32
27:243.0,302.0,0.77,1.00
28:216.0,317.0,0.86,1.26
29:205.0,181.0,0.86,1.14
30:80.0,263.0,0.57,3.26
31:50.0,204.0,0.50,4.25
32:132.0,133.0,0.93,1.01
33:146.0,237.0,0.86,1.62
34:221.0,121.0,0.77,1.86
35:234.0,146.0,0.85,1.61
36:295.0,285.0,0.93,1.09
37:210.0,127.0,0.80,1.68
38:332.0,130.0,0.60,2.56
39:127.0,195.0,0.34,6.79
40:171.0,176.0,0.97,1.03
41:315.0,90.0,0.55,3.70
42:354.0,133.0,0.56,2.89
43:234.0,203.0,0.92,1.15
44:320.0,327.0,0.79,1.02
45:316.0,148.0,0.74,2.14
46:334.0,114.0,0.61,2.91
47:29.0,282.0,0.25,9.43
48:316.0,255.0,0.92,1.25
49:329.0,200.0,0.79,2.06
50:288.0,151.0,0.77,1.97
51:287.0,245.0,0.87,1.38
52:263.0,368.0,0.83,1.46
53:332.0,229.0,0.90,1.51
54:318.0,281.0,0.68,2.46
55:282.0,260.0,0.36,6.78
56:190.0,215.0,0.88,1.13
57:305.0,170.0,0.84,1.83
58:257.0,146.0,0.67,2.34
59:205.0,220.0,0.84,1.07
60:283.0,288.0,0.93,1.02
61:273.0,142.0,0.76,1.90
62:264.0,266.0,0.67,2.54
63:298.0,314.0,0.47,4.81
64:201.0,195.0,0.99,1.07
65:260.0,114.0,0.75,2.27
66:206.0,76.0,0.66,2.69
67:195.0,177.0,0.85,1.06
68:234.0,291.0,0.89,1.25
69:246.0,145.0,0.82,1.71
70:241.0,233.0,0.62,2.83
71:177.0,222.0,0.33,6.53
72:204.0,203.0,0.97,1.00
73:305.0,141.0,0.75,2.17
74:247.0,194.0,0.79,1.56
75:257.0,257.0,0.92,1.30
76:282.0,335.0,0.85,1.16
77:258.0,158.0,0.81,1.62
78:303.0,248.0,0.63,2.32
79:189.0,285.0,0.29,8.29
80:109.0,109.0,0.99,1.00
81:237.0,112.0,0.78,2.12
82:254.0,195.0,0.87,1.35
83:245.0,192.0,0.71,1.45
84:397.0,280.0,0.88,1.00
85:215.0,163.0,0.87,1.32
86:191.0,224.0,0.71,2.17
87:213.0,233.0,0.43,5.28
88:189.0,189.0,0.99,1.00
